row,col,label
1,1,empty
1,2,empty
1,3,empty
1,4,pao_g
1,5,empty
1,6,bing_r
1,7,empty
1,8,empty
1,9,empty
1,10,empty
2,1,empty
2,2,empty
2,3,empty
2,4,empty
2,5,empty
2,6,empty
2,7,empty
2,8,pao_r
2,9,empty
2,10,empty
3,1,empty
3,2,empty
3,3,empty
3,4,bing_r
3,5,empty
3,6,empty
3,7,bing_r
3,8,empty
3,9,empty
3,10,empty
4,1,empty
4,2,jiang_r
4,3,empty
4,4,empty
4,5,shi_g
4,6,empty
4,7,empty
4,8,empty
4,9,empty
4,10,shi_g
5,1,empty
5,2,empty
5,3,shi_r
5,4,empty
5,5,che_g
5,6,empty
5,7,bing_r
5,8,empty
5,9,ma_r
5,10,empty
6,1,empty
6,2,empty
6,3,empty
6,4,empty
6,5,empty
6,6,empty
6,7,empty
6,8,empty
6,9,empty
6,10,empty
7,1,empty
7,2,empty
7,3,empty
7,4,pao_r
7,5,empty
7,6,che_g
7,7,xiang_g
7,8,empty
7,9,empty
7,10,empty
8,1,ma_r
8,2,empty
8,3,empty
8,4,empty
8,5,empty
8,6,empty
8,7,empty
8,8,che_r
8,9,empty
8,10,empty
9,1,empty
9,2,empty
9,3,empty
9,4,empty
9,5,pao_g
9,6,empty
9,7,empty
9,8,empty
9,9,empty
9,10,empty
