row,col,label_pred,label_correct
1,1,che_g,shi_g
1,2,che_g,empty
1,3,che_g,empty
1,4,che_g,empty
1,5,xiang_g,empty
1,6,che_g,empty
1,7,che_r,bing_r
1,8,che_g,empty
1,9,che_g,empty
1,10,che_r,empty
2,1,pao_r,empty
2,2,empty,empty
2,3,ma_g,empty
2,4,empty,empty
2,5,empty,empty
2,6,pao_g,empty
2,7,pao_r,empty
2,8,bing_r,empty
2,9,empty,empty
2,10,che_r,empty
3,1,pao_r,empty
3,2,empty,empty
3,3,empty,empty
3,4,ma_g,pao_r
3,5,che_r,empty
3,6,che_r,empty
3,7,xiang_g,empty
3,8,empty,empty
3,9,bing_r,empty
3,10,che_r,empty
4,1,ma_r,che_g
4,2,empty,empty
4,3,empty,empty
4,4,empty,empty
4,5,empty,empty
4,6,empty,empty
4,7,empty,empty
4,8,ma_g,shi_r
4,9,empty,empty
4,10,che_r,bing_r
5,1,shi_g,empty
5,2,empty,empty
5,3,empty,empty
5,4,bing_r,empty
5,5,empty,empty
5,6,bing_r,empty
5,7,pao_g,xiang_g
5,8,che_r,che_g
5,9,empty,empty
5,10,shi_r,pao_r
6,1,empty,empty
6,2,empty,empty
6,3,empty,empty
6,4,empty,empty
6,5,empty,empty
6,6,empty,empty
6,7,empty,empty
6,8,empty,empty
6,9,empty,empty
6,10,che_r,empty
7,1,empty,empty
7,2,empty,empty
7,3,empty,empty
7,4,empty,empty
7,5,empty,empty
7,6,che_g,empty
7,7,ma_g,bing_r
7,8,bing_r,empty
7,9,empty,empty
7,10,che_r,empty
8,1,xiang_r,empty
8,2,empty,empty
8,3,xiang_r,empty
8,4,empty,empty
8,5,empty,empty
8,6,pao_g,empty
8,7,empty,empty
8,8,empty,empty
8,9,empty,empty
8,10,ma_r,empty
9,1,empty,pao_g
9,2,empty,empty
9,3,empty,jiang_r
9,4,empty,empty
9,5,empty,empty
9,6,ma_g,ma_r
9,7,bing_r,empty
9,8,empty,empty
9,9,che_g,empty
9,10,che_r,empty
