row,col,label_pred,label_correct
1,1,shi_g,shi_g
1,2,empty,empty
1,3,pao_g,empty
1,4,empty,empty
1,5,empty,empty
1,6,empty,empty
1,7,ma_r,bing_r
1,8,empty,empty
1,9,empty,empty
1,10,empty,empty
2,1,empty,empty
2,2,empty,empty
2,3,empty,empty
2,4,empty,empty
2,5,empty,empty
2,6,empty,empty
2,7,empty,empty
2,8,empty,empty
2,9,empty,empty
2,10,empty,empty
3,1,empty,empty
3,2,empty,empty
3,3,empty,empty
3,4,bing_r,pao_r
3,5,empty,empty
3,6,empty,empty
3,7,empty,empty
3,8,empty,empty
3,9,empty,empty
3,10,empty,empty
4,1,shi_g,che_g
4,2,empty,empty
4,3,empty,empty
4,4,empty,empty
4,5,empty,empty
4,6,empty,empty
4,7,empty,empty
4,8,che_r,shi_r
4,9,empty,empty
4,10,shi_g,bing_r
5,1,empty,empty
5,2,empty,empty
5,3,empty,empty
5,4,empty,empty
5,5,empty,empty
5,6,empty,empty
5,7,shi_g,xiang_g
5,8,che_g,che_g
5,9,empty,empty
5,10,ma_r,pao_r
6,1,empty,empty
6,2,empty,empty
6,3,empty,empty
6,4,empty,empty
6,5,empty,empty
6,6,empty,empty
6,7,empty,empty
6,8,empty,empty
6,9,empty,empty
6,10,empty,empty
7,1,empty,empty
7,2,empty,empty
7,3,empty,empty
7,4,empty,empty
7,5,empty,empty
7,6,empty,empty
7,7,bing_r,bing_r
7,8,empty,empty
7,9,empty,empty
7,10,empty,empty
8,1,empty,empty
8,2,empty,empty
8,3,empty,empty
8,4,empty,empty
8,5,empty,empty
8,6,empty,empty
8,7,empty,empty
8,8,empty,empty
8,9,empty,empty
8,10,empty,empty
9,1,ma_r,pao_g
9,2,empty,empty
9,3,bing_r,jiang_r
9,4,empty,empty
9,5,empty,empty
9,6,ma_r,ma_r
9,7,empty,empty
9,8,empty,empty
9,9,empty,empty
9,10,empty,empty
